#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"97,554,555",,"1,078,938 ",,"94,055,480",,"2,420,137","3,251","291,377","3,223","1,111,373,916","3,319,464","334,805,269 ",North America,33100,,,"7,228"
2,India,"44,543,089",,"528,370 ",,"43,967,340",,"47,379",698,"31,666",376,"891,753,120","633,963","1,406,631,776 ",Asia,"322,6622",,,34
3,France,"34,921,603",,"154,743 ",,"34,355,218",,"411,642",869,"532,467","2,359","271,490,188","4,139,547","65,584,518 ",Europe,24240,,,"6,277"
4,Brazil,"34,636,731",,"685,482 ",,"33,750,459",,"200,790","8,318","160,837","3,183","63,776,166","296,146","215,353,593 ",South America,63143,,,932
5,Germany,"32,740,593",,"149,079 ",,"31,996,500","+47,300","595,014","1,406","390,310","1,777","122,332,384","1,458,359","83,883,596 ",Europe,35631,,,"7,093"
6,S. Korea,"24,461,737","+47,864","27,891 ",+24,"23,389,558","+89,489","1,044,288",508,"476,559",543,"15,804,065","307,892","51,329,899 ",Asia,"21,8403",932,0.5,"20,345"
7,UK,"23,585,305",,"189,484 ",,"23,307,771","+4,715","88,050",146,"344,322","2,766","522,526,476","7,628,357","68,497,907 ",Europe,33610,,,"1,285"
8,Italy,"22,169,273",,"176,609 ",,"21,565,442",,"427,222",151,"367,877","2,931","244,965,453","4,064,955","60,262,770 ",Europe,33410,,,"7,089"
9,Japan,"20,740,797","+41,330","43,827 ",+73,"19,859,581","+70,973","837,389",299,"165,154",349,"75,184,310","598,673","125,584,838 ",Asia,"62,8652",329,0.6,"6,668"
10,Russia,"20,535,057","+46,474","386,234 ",+98,"19,477,825","+52,194","670,998","2,300","140,838","2,649","273,400,000","1,875,095","145,805,947 ",Europe,73781,319,0.7,"4,602"
11,Turkey,"16,852,382",,"101,068 ",,"16,719,672","+4,598","31,642",975,"196,961","1,181","162,743,369","1,902,052","85,561,976 ",Asia,58471,,,370
